address,latitude,longitude,name,province
230 S Duff Ave,42.02045,-93.60967,Chick-Fil-A,IA
2817 E 13th St,42.035109999999996,-93.57344,Burger King,IA
1020 E 1st St,41.732374,-93.582329,Burger King,IA
2450 S Vista Ave,43.580339,-116.21310600000001,Pizza Hut,ID
1807 N Church St,36.09503,-79.408,Burger King,NC
2535 18th St,41.548648,-90.504798,Dairy Queen,IA
9320 Steele Creek Rd,35.16361,-80.96889,McDonald's,NC
9640 Mariposa Rd,34.425812,-117.378018,Burger King,CA
17021 Main St,34.419638,-117.291579,Burger King,CA
14485 Inglewood Ave,33.899881,-118.36165700000001,Del Taco,CA
18070 Chatsworth St,34.264517,-118.52678200000001,Del Taco,CA
1200 Forrest Ave,39.158375,-75.550267,Arby's,DE
1200 Forrest Ave,39.158375,-75.550267,Arby's,DE
300 Mccarter Rd,34.685340000000004,-82.19726999999999,McDonald's,SC
2040 Cumberland St,40.33873,-76.447826,Burger King,PA
1451 Quentin Rd,40.31787,-76.42396,Chipotle Mexican Grill,PA
609 Naamans Rd,39.81718,-75.45715,Taco Bell,DE
5800 W Chandler Blvd,33.30628,-111.94408999999999,Pizza Hut,AZ
1205 Commons Cir,44.49541,-89.51668000000001,McDonald's,WI
1099 S Blackhawk St,39.697205,-104.82432299999999,Arby's,CO
406 N Pershing St,37.777429999999995,-89.02603,Primo's Pizza,IL
201 Lee Town Rd,36.441759999999995,-94.114426,Simple Simon's Pizza,AR
3067 Wilma Rudolph Blvd,36.594351,-87.287425,Arby's,TN
1635 W State St,40.901990000000005,-81.12966,Dairy Queen,OH
5311 Highway 5 N Ste 240,34.623000000000005,-92.50348000000001,CASA Mexicana,AR
3001 N Reynolds Rd,34.623419,-92.499052,Burger King,AR
2275 E Butler Ave,35.192109,-111.624197,Burger King,AZ
1818 6th St,44.31095,-96.77414,Arby's,SD
1818 6th St,44.31095,-96.77414,Arby's,SD
3051 W Apache Trl,33.415079999999996,-111.57883999999999,KFC,AZ
Route 52 Airport Square,37.28415,-81.25128000000001,Burger King,WV
102 Harper Park Dr,37.793559,-81.217557,Bob Evans,WV
1912 Harper Rd,37.790326,-81.21054699999999,Pizza Hut,WV
1855 Deerfield Rd,42.17114472,-87.82489848,Players Grill,IL
3 Clarksburg Rd,38.997749,-80.233242,Burger King,WV
302 Yellowstone Ave,44.516059999999996,-109.08971000000001,Arby's,WY
1902 Mountain View Dr,44.514590000000005,-109.05084,Burger King,WY
5320 Yellowstone Rd,41.16767,-104.828636,Pizza Hut,WY
1100 Poplar View Ln N,35.0492,-89.69906999999999,Back Yard Burgers,TN
967 W Poplar Ave,35.045609999999996,-89.6942,Arby's,TN
2607 Cy Ave,42.82804,-106.354802,Arby's,WY
1860 N Germantown Pkwy,35.175914,-89.792333,Arby's,TN
310 W Grand Xing,45.53751,-100.43688,SUBWAY,SD
1502 N Clinton St,41.303027,-84.36127900000001,Arby's,OH
1133 N Clinton St,41.301426,-84.36081800000001,Pizza Hut,OH
11 W Dayton Yellow Springs Rd,39.783394,-84.006478,Pizza Hut,OH
1205 6th Ave Se,45.459587,-98.469823,Arby's,SD
2260 Highway 394,36.524041,-82.31270699999999,McDonald's,TN
214 Carolina Pottery Dr,36.534114,-82.39005300000001,McDonald's,TN
1313 Highway 394,36.541865,-82.33235,Arby's,TN
1313 Highway 394,36.541865,-82.33235,Arby's,TN
100 Prince Royal Dr,37.568606,-84.31104599999999,Burger King,KY
16311 State Route 267,40.66428,-80.62040999999999,Italo's Pizza,OH
900 W 8th St,40.62539,-80.59109000000001,Dairy Queen,OH
723 Saratoga Ave,40.73101,-84.07296,Hunan Gardens,OH
23777 Us Route 23,39.58426871,-82.95390414,Burger King,OH
414 Water St,41.580901000000004,-81.21016800000001,Burger King,OH
2005 S Main St,40.331939,-83.761451,Burger King,OH
2000 E Edgerton Rd,41.29553,-81.67674,Burger King,OH
10037 Broadview Rd,41.293022,-81.68467,Burger King,OH
475 Chippewa Mall Dr,44.92456,-91.38189,Toppers Pizza,WI
212 S 7th St,42.63089,-88.63918000000001,Hernandez Mexican Restaurant,WI
1931 E Geneva St,42.627712,-88.621712,Culver's,WI
2680 Market St,37.16537,-80.422283,Burger King,VA
2650 Market St,37.166086,-80.422225,Arby's,VA
2680 Market St,37.16537,-80.422283,Burger King,VA
1004 S Main St,37.289041,-78.397491,Burger King,VA
1709 Allied Ln,38.041290000000004,-78.47775,Glorious Foods Gourmet to go & Catering,VA
1835 Ne Division St,45.50516,-122.41273000000001,Little Caesars Pizza,OR
9575 Dyer St,31.88498,-106.41861200000001,Arby's,TX
2202 N Richmond Rd,29.331020000000002,-96.09456999999999,Pizza Hut,TX
3120 W Fm 120,33.762134,-96.581587,Burger King,TX
1705 Expressway 83,26.243395,-98.4423,McDonald's,TX
2280 E Garrison St,28.705740000000002,-100.48395,Burger King,TX
2207 Veterans Blvd,29.38843,-100.90521,Chick-Fil-A,TX
2208 Highway 21 E,30.69488984,-96.36236943,Burger King,TX
1216 W Henderson St,32.342149,-97.402765,Schlotzsky's,TX
801 Ne Alsbury Blvd,32.563248,-97.322393,Arby's,TX
1105 N Burleson Blvd,32.566362,-97.319315,Chick-Fil-A,TX
5301 Bellaire Blvd,29.70529415,-95.4730184,Burger King,TX
3824 S Clack St,32.405234,-99.764985,Arby's,TX
2305 N Saint Marys St,28.421414000000002,-97.756843,Golden Chick,TX
90571 Main St,28.847140999999997,-97.44154,Dairy Queen,TX
210 W Sinton St,28.03704,-97.51219,Pizza Hut,TX
96 Cannan Dr,29.18105,-95.44666,Chicken Express,TX
1890 Bethlehem Pike,40.111177000000005,-75.21414399999999,McDonald's,PA
707 Washington Ave,39.224652,-76.06993,Arby's,MD
707 Washington Ave,39.224652,-76.06993,Arby's,MD
1201 E Main St,27.753659999999996,-98.06130999999999,Big House Burgers,TX
8586 S Orange Blossom Trl,28.440040000000003,-81.4037,Arby's,FL
6385 Dobbin Rd,39.196115999999996,-76.82101,McDonald's,MD
6241 Washington Blvd,39.208926,-76.724769,Burger King,MD
505 S Oxford Valley Rd,40.169035,-74.849233,Arby's,PA
505 S Oxford Valley Rd,40.169035,-74.849233,Arby's,PA
888 E Main St,40.164651,-76.154297,Arby's,PA
1247 Theatre Dr,41.01903,-92.43745,Pizza Hut,IA
470 Cummings St,36.705143,-81.974501,Arby's,VA
470 Cummings St,36.705143,-81.974501,Arby's,VA
6308 Richmond Hwy,38.78022,-77.07939,Jerry's Subs & Pizza,VA
6308 Richmond Hwy,38.78022,-77.07939,Jerry's Subs & Pizza,VA
1104 W High St,40.48025,-78.73658,Fox's Pizza Den,PA
285 Jamesway Rd,40.47425,-78.74575,Burger King,PA
4105 Peach St,42.092031,-80.084087,Arby's,PA
3720 Pine Ave,42.108354999999996,-80.050799,Arby's,PA
4868 Houston Rd,39.019712,-84.628729,Burger King,KY
105 S 3rd St,40.509285999999996,-75.385827,Burger King,PA
1306 E Main St,41.20821,-79.36712,Pizza Pub,PA
4205 Washington Rd,40.26269,-80.13373,Grande Italian Restaurant,PA
453 Valley Brook Rd Ste 200,40.28079,-80.08363,Pizza Hut,PA
1208 W Front St,41.049741,-76.252443,Burger King,PA
4960 Library Rd,40.34341,-80.02729000000001,Pizza Hut,PA
9 Hudson Hollow Rd,38.178962,-84.89459599999999,Burger King,KY
1110 N 90th St,47.69445,-122.34243000000001,Pizza Hut,WA
114 W Wabash Ave,40.0396,-86.9026,Arni's Crawfordsville,IN
1518 S Washington St,40.021575,-86.90334399999999,Arby's,IN
